ECNS system logs created 07/01/2012
2012-09-17 08:29:38  logged out 
2012-09-17 08:29:42  logged in 
2012-09-17 08:45:57  logged out 
2012-09-17 08:46:03  logged in 
2012-09-17 08:55:31  logged out 
2012-09-17 08:55:35  logged in 
2012-09-17 09:12:00  logged out 
2012-09-17 09:12:03  logged in 
2012-09-17 09:24:32  logged out 
2012-09-17 09:24:34  logged in 
2012-09-17 09:26:03  logged out 
2012-09-17 09:26:05  logged in 
2012-09-17 09:44:02  logged out 
2012-09-17 09:44:05  logged in 
2012-09-17 10:24:22  logged out 
2012-09-17 10:24:25  logged in 
2012-09-17 10:32:17  logged out 
2012-09-17 10:32:19  logged in 
2012-09-17 16:51:03  logged out 
2012-09-17 16:51:15  logged in 
2012-09-18 08:24:45  logged in 
2012-09-18 08:55:05  logged out 
2012-09-18 09:01:42  logged in 
2012-09-18 09:01:52  logged out 
2012-09-18 09:04:41  logged in 
2012-09-18 09:04:45  logged out 
2012-09-18 09:06:10  logged out 
2012-09-18 09:06:11  logged out 
2012-09-18 09:06:14  logged in 
2012-09-18 09:06:16  logged out 
2012-09-18 09:06:23  logged in 
2012-09-18 09:06:26  logged out 
2012-09-18 09:08:07  logged in 
2012-09-18 09:09:17  logged out 
2012-09-18 09:09:22  logged out 
2012-09-18 09:16:26  logged in 
2012-09-18 09:16:29  logged out 
2012-09-18 09:21:04  logged in 
2012-09-18 09:21:09  logged out 
2012-09-18 09:21:13  logged out 
2012-09-18 09:21:26  logged in 
2012-09-18 09:21:27  logged out 
2012-09-18 09:22:04  logged in 
2012-09-18 09:22:07  logged out 
2012-09-18 09:23:00  logged out 
2012-09-18 09:23:10  logged in 
2012-09-18 09:23:12  logged out 
2012-09-18 09:23:15  logged out 
2012-09-18 09:23:19  logged in 
2012-09-18 09:23:22  logged out 
2012-09-18 09:25:40  logged in 
2012-09-18 09:25:41  logged out 
2012-09-18 09:26:04  logged in 
2012-09-18 09:26:05  logged out 
2012-09-18 09:26:08  logged in 
2012-09-18 09:31:40  logged in 
2012-09-18 10:15:31  logged out 
2012-09-18 10:15:53  logged in 
2012-09-18 11:14:26  logged out 
2012-09-18 11:39:53  logged in 
2012-09-18 13:48:23  logged in 
2012-09-19 09:13:56  logged in 
2012-09-19 10:37:04  logged in 
2012-09-19 14:08:19  logged in 
2012-09-19 17:40:21  logged out 
2012-09-19 17:40:45  logged in 
2012-09-19 17:40:49  logged out 
